NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"David Sills V",67,"NYG","9","17","11","1.9","106","0","9.6","0","24","0","0"
"Jason Moore Jr.",67,"LAC","6","2","1","0.3","5","0","5","0","5","0","0"
"Raleigh Webb",67,"NE","12","0","0","0","0","0","0","0","0","0","0"
"Cody White",67,"PIT","1","1","1","1","2","0","2","0","2","0","0"
"Kirk Merritt",67,"NO","4","0","0","0","0","0","0","0","0","0","0"
"Marcus Kemp",67,"KC","3","0","0","0","0","0","0","0","0","0","0"
"Josh Ali",67,"ATL","1","1","0","1","0","0","0","0","0","0","0"
"Andre Baccellia",67,"ARI","8","10","7","1.2","45","0","6.4","0","11","0","0"
"Lance McCutcheon",67,"LAR","10","4","0","0.4","0","0","0","0","0","0","0"
"Tyrie Cleveland",67,"DEN","6","7","2","1.2","28","0","14","0","16","0","0"
"Jalen Virgil",67,"DEN","9","5","2","0.6","75","0","37.5","1","66","1","1"
"Dareke Young",67,"SEA","13","2","2","0.2","24","0","12","0","12","0","0"
"Michael Bandy",67,"LAC","10","21","10","2.1","89","0","8.9","0","25","0","0"
"Tay Martin",67,"SF","2","0","0","0","0","0","0","0","0","0","0"
"Erik Ezukanma",67,"MIA","1","1","1","1","3","0","3","0","3","0","0"
"Dax Milne",67,"WAS","15","7","6","0.5","37","0","6.2","1","12","1","0"
"Dez Fitzpatrick",67,"TEN","1","0","0","0","0","0","0","0","0","0","0"
"Michael Woods II",67,"CLE","11","9","5","0.8","45","0","9","0","15","0","0"
"Matthew Slater",67,"NE","17","0","0","0","0","0","0","0","0","0","0"
"Maurice Alexander",67,"DET","4","1","1","0.2","7","0","7","0","7","0","0"
"Austin Trammell",67,"LAR","6","4","2","0.7","13","0","6.5","0","8","0","0"
"Racey McMath",67,"TEN","5","8","2","1.6","40","0","20","0","39","0","0"
"Jalen Camp",67,"HOU","2","1","1","0.5","7","0","7","0","7","0","0"
"DJ Turner",67,"OAK","9","1","0","0.1","0","0","0","0","0","1","0"
"Mike Strachan",67,"IND","13","9","3","0.7","59","0","19.7","0","23","0","0"
"Deven Thompkins",67,"TB","5","10","5","2","32","0","6.4","0","13","1","0"
"Jared Bernhardt",67,"ATL","2","0","0","0","0","0","0","0","0","0","0"
"Daylen Baldwin",67,"CLE","1","2","2","2","25","0","12.5","0","15","0","0"
"Dezmon Patmon",67,"IND","1","6","2","6","24","0","12","0","17","0","0"
"Kaylon Geiger",67,"TB","3","0","0","0","0","0","0","0","0","0","0"
"Johnny Johnson III",67,"HOU","1","0","0","0","0","0","0","0","0","0","0"
"Ihmir Smith-Marsette",67,"KC","8","4","1","0.5","15","0","15","0","15","1","1"
"Frank Darby",67,"ATL","5","1","1","0.2","15","0","15","0","15","0","0"
"Trent Taylor",67,"CIN","16","10","6","0.6","62","0","10.3","0","34","2","1"
"Cody Hollister",67,"TEN","11","5","3","0.5","54","0","18","0","27","0","0"
