NAME,POS,TEAM,DEPTH,WC,DIV,CONF,SB,Total,Avg,TM TGT %,Catches,Catch %,TD
"Tevin Coleman","RB","SF","","","","","",0,0,0,0,0,
"Travis Etienne Jr.","RB","JAX",1,1,3,"","",4,2,4.7,4,100,
"Tee Higgins","WR","CIN",1,6,4,11,"",21,7,19.3,13,61.9,1
"Tyreek Hill","WR","MIA",1,15,"","","",15,15,33.3,7,46.7,
"T.Y. Hilton","WR","DAL","",4,1,"","",5,2.5,7.1,3,60,
"T.J. Hockenson","TE","MIN",1,11,"","","",11,11,27.5,10,90.9,
"Trenton Irwin","WR","CIN",2,"",2,2,"",4,1.3,3.7,2,50,
"Tim Jones","WR","JAX","","","","","",0,0,0,0,0,
"Taiwan Jones","RB","BUF","","","","","",0,0,0,0,0,
"Tyler Kroft","TE","SF","","","","","",0,0,0,0,0,
"Tyler Lockett","WR","SEA",1,8,"","","",8,8,22.9,6,75,
"Tyler Mabry","TE","SEA",4,"","","","",0,0,0,0,0,
"Tre' McKitty","TE","LAC",3,2,"","","",2,2,4.7,2,100,
"Tony Pollard","RB","DAL",1,3,3,"","",6,3,8.6,5,83.3,
"Trent Sherfield","WR","MIA",2,2,"","","",2,2,4.4,0,0,
"Trent Taylor","WR","CIN",2,"","","","",0,0,0,0,0,
"Trayveon Williams","RB","CIN",2,"","","","",0,0,0,0,0,
"Zay Jones","WR","JAX",1,13,7,"","",20,10,23.3,13,65,1
